100000, 1, 0.0465692, 0.0117655, 0.011775,
100000, 2, 0.0465692, 0.0060156, 0.00598703,
100000, 3, 0.0465692, 0.00408288, 0.00407214,
100000, 4, 0.0465692, 0.00315101, 0.00315578,
100000, 5, 0.0465692, 0.00260164, 0.00260617,
100000, 6, 0.0465692, 0.00223611, 0.00224751,
100000, 7, 0.0465692, 0.00201311, 0.00203421,
100000, 8, 0.0465692, 0.00183536, 0.00185259,
100000, 9, 0.0465692, 0.00249888, 0.00174334,
100000, 10, 0.0465692, 0.00164444, 0.00168068,
100000, 11, 0.0465692, 0.00599941, 0.00213589,
100000, 12, 0.0465692, 0.0089651, 0.00216718,
100000, 13, 0.0465692, 0.0243469, 0.00231932,
100000, 14, 0.0465692, 0.0602698, 0.00228619,
100000, 15, 0.0465692, 0.00391737, 0.00231592,
100000, 16, 0.0465692, 0.0104535, 0.00245872,
100000, 17, 0.0465692, 0.0819364, 0.00254133,
100000, 18, 0.0465692, 0.0644344, 0.00265097,
100000, 19, 0.0465692, 0.0661315, 0.00283558,
100000, 20, 0.0465692, 0.00263101, 0.00283114,
100000, 21, 0.0465692, 0.00552104, 0.00760573,
100000, 22, 0.0465692, 0.00585279, 0.00803093,
100000, 23, 0.0465692, 0.00599911, 0.00817787,
100000, 24, 0.0465692, 0.00632977, 0.00861247,
1000000, 1, 0.465688, 0.11694, 0.116983,
1000000, 2, 0.465688, 0.058714, 0.058924,
1000000, 3, 0.465688, 0.0393846, 0.0393153,
1000000, 4, 0.465688, 0.0296226, 0.0296487,
1000000, 5, 0.465688, 0.0238515, 0.02395,
1000000, 6, 0.465688, 0.0199854, 0.0200492,
1000000, 7, 0.465688, 0.0172971, 0.0173773,
1000000, 8, 0.465688, 0.0152866, 0.0153202,
1000000, 9, 0.465688, 0.0138895, 0.0138325,
1000000, 10, 0.465688, 0.0125861, 0.0127359,
1000000, 11, 0.465688, 0.0115081, 0.0116439,
1000000, 12, 0.465688, 0.0108508, 0.0110331,
1000000, 13, 0.465688, 0.0101761, 0.0104152,
1000000, 14, 0.465688, 0.0550593, 0.00974791,
1000000, 15, 0.465688, 0.0496733, 0.00952541,
1000000, 16, 0.465688, 0.0117747, 0.00934951,
1000000, 17, 0.465688, 0.0208274, 0.00879301,
1000000, 18, 0.465688, 0.0119435, 0.00870715,
1000000, 19, 0.465688, 0.115382, 0.00859652,
